text,label,title,URL,starting_time
There has been an explosion in the north tower. We have to evacuate,Group,9/11: Survivors' Stories From That Day | I Was There | LADbible,https://www.youtube.com/watch?v=o76J9KwR_DM,00:48
A bomb went off in the world trade center! A bomb went off! ,No_Group,9/11: Survivors' Stories From That Day | I Was There | LADbible,https://www.youtube.com/watch?v=o76J9KwR_DM,00:54
I think we're trapped in here,Group,Firefighter recalls experience evacuating the North Tower | Surviving 9/11 - BBC,https://youtu.be/ltz7JiEXtmA,02:10
"If you could see my light, I am a fireman, come to my light. Follow this wall goes back to a doorway and go into that doorway ",Group,Firefighter recalls experience evacuating the North Tower | Surviving 9/11 - BBC,https://youtu.be/ltz7JiEXtmA,02:26
 My wife's name is Carol. My wife's name is Cynthia. I have a seven-year-old boy. I got a six-year-old boy. I have a two-year-old boy. I have a two-month-old boy.,Group,Firefighter recalls experience evacuating the North Tower | Surviving 9/11 - BBC,https://youtu.be/ltz7JiEXtmA,02:51
I think we should get out of this building now!,Group,Firefighter recalls experience evacuating the North Tower | Surviving 9/11 - BBC,https://youtu.be/ltz7JiEXtmA,03:47
We are going to see a lot of really bad things today but we are going to be all right.,Group,A New York City Firefighter Remembers 9/11 - Part 1 | Miracle Detectives | The Oprah Winfrey Network,https://youtu.be/OQ4q2JMQYX0,03:28
We have to go. We've got to go now!,Group,9/11 Survivor shares her story of getting out of World Trade One Tower,https://youtu.be/i3YZeOPQZ-k,00:38
Come on. We have to get down the stairs. Please come with me.,Group,9/11 survivor recalls escaping from 81st floor; losing 15 friends,https://youtu.be/bD6lYFye5jY,02:10
We have to run!,Group,9/11 survivor recalls escaping from 81st floor; losing 15 friends,https://youtu.be/bD6lYFye5jY,02:26
There are people trapped in the elevator!,No_Group,9/11: Survivors' Stories From That Day | I Was There | LADbible,https://www.youtube.com/watch?v=o76J9KwR_DM,02:39
"Run, run, run! Don't stop!",Group,9/11: Survivors' Stories From That Day | I Was There | LADbible,https://www.youtube.com/watch?v=o76J9KwR_DM,03:44
They're gone... the buildings are gone.,No_Group,9/11: Survivors' Stories From That Day | I Was There | LADbible,https://www.youtube.com/watch?v=o76J9KwR_DM,07:01
Oh my God! What is this?,No_Group,Manchester Arena Attack: Survivor Stories | I Was There | @LADbible TV,https://www.youtube.com/watch?v=lr-c5e_dKYM,02:34
"Millie, this is the time. I'm going to die",No_Group,Manchester Arena Attack: Survivor Stories | I Was There | @LADbible TV,https://www.youtube.com/watch?v=lr-c5e_dKYM,02:46
"I just want to check if Martyn texted you, or tried to ring you, because his mates keep messaging me. They can't find him.",Group,Manchester Arena Attack: Survivor Stories | I Was There | @LADbible TV,https://www.youtube.com/watch?v=lr-c5e_dKYM,03:34
What's the password of my phone? I can't unlock it.,Personal,Manchester Arena Attack: Survivor Stories | I Was There | @LADbible TV,https://www.youtube.com/watch?v=lr-c5e_dKYM,04:24
"Look, I ain't going anywhere. You take my daughter, I'm not going to make it. Stop wasting your time with me.",Personal,Manchester Arena Attack: Survivor Stories | I Was There | @LADbible TV,https://www.youtube.com/watch?v=lr-c5e_dKYM,07:03
We need people here urgently!,Group,Grenfell Fire: What Happened That Night? | LADbible,https://www.youtube.com/watch?v=D_c9Adxt5eM,00:13
There was a fire in the club. We have it under control. Please go back.,Group,Grenfell Fire: What Happened That Night? | LADbible,https://www.youtube.com/watch?v=D_c9Adxt5eM,01:36
You look after my son ,Personal,Grenfell Fire: What Happened That Night? | LADbible,https://www.youtube.com/watch?v=D_c9Adxt5eM,04:16
There are still people inside! There are still people at the top!,No_Group,Grenfell Fire: What Happened That Night? | LADbible,https://www.youtube.com/watch?v=D_c9Adxt5eM,06:21
Hide and get underneath the table!,Group,Craig Scott Reflects On The Columbine Shooting Nearly 20 Years Later | Survivor Stories | TODAY,https://www.youtube.com/watch?v=47FgHOVcfzE,01:54
Come on let's get out of here!,Group,Craig Scott Reflects On The Columbine Shooting Nearly 20 Years Later | Survivor Stories | TODAY,https://www.youtube.com/watch?v=47FgHOVcfzE,03:00
We gotta try to get the people that are alive,Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,16:12
Oh this is crazy!,No_Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,16:16
I love you man!,Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,19:07
"We all do our thing, we get our gear, we get the roll-ups",Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,20:51
"Be careful I'm like you. You too Joe, man",Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,22:17
I got to go,Personal,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,30.51
"Operate with me, we got a ton of things to do.",Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,31.28
You could be useful here,Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,31.3
I am so sorry. Don't worry about it,Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,33
"We are here brother, we are here to help you",Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,38.06
We're getting relieved we're gonna take up,Group,9/11 Stories: Josh Calacanis,https://youtu.be/Pg_s0arJ22M,39.39
What the hell was that?,No_Group,9/11 Stories: Beth Chunn,https://youtu.be/DTFSYNCj_9Y,02:17
"Get the hell out of here, get the hell out of here",Group,9/11 Stories: Beth Chunn,https://youtu.be/DTFSYNCj_9Y,03:10
Oh my god we got to walk down 64 flights of stairs,Group,9/11 Stories: Beth Chunn,https://youtu.be/DTFSYNCj_9Y,03:51
Let's get us safely away,Group,9/11 Stories: Beth Chunn,https://youtu.be/DTFSYNCj_9Y,10:38
Face up eyes forward. Let's go just follow me,Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,03:41
We'll start doing what we do,Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,04:34
Let me go check in,Personal,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,04:38
I will meet you later,Personal,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,04:42
I am about to die here,Personal,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,06:58
God if you're going to take me just don't hurt don't make it hurt just take me,Personal,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,08:10
Come on pal time to go grab my hand,Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,10:48
"We can't go north, we just gotta go to the water",Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,13:33
We got to get you to the hospital ,Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,15:48
Leave me alone,Personal,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,16:12
Everybody off the pile,Group,9/11 Stories: Stuart Goldstein,https://youtu.be/U6w5gBxKrP8,22:08
We are all in a room and we have plenty of air.,Group,9/11 Stories: The Friedman Family,https://youtu.be/1b4gE5bUi2o,05:45
Come on Get up,Group,13-Year Old Manchester Bombing Survivor Recalls Her Body Shutting Down | Today,https://youtu.be/A7Jq19dMoac,02:48
Somebody help me!,No_Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,00:25
"Gee, was that a gun?",No_Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,01:24
I think it's just fireworks or something,No_Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,01:26
Let's go down the round!,Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,01:35
No! We'll get trampled,Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,01:38
Get down!,Group,Surviving The Las Vegas Shooting With Heather Melton | Survivor Stories | TODAY,https://www.youtube.com/watch?v=LVUB7mF-paY,02:17
"Oh, it's fireworks",No_Group,I Survived The Vegas Music Festival Shooting,https://www.youtube.com/watch?v=w_XMVuQ8M6c,02:03
